"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Carey Price",8500,"Mon@Edm 09:00PM ET",7.425,"Mon"
"C","Tyler Seguin",8500,"Van@Dal 08:30PM ET",5.778,"Dal"
"C","John Tavares",8400,"Car@NYI 07:00PM ET",4.778,"NYI"
"LW","Jamie Benn",8000,"Van@Dal 08:30PM ET",6.056,"Dal"
"G","Corey Crawford",7800,"Chi@Wpg 08:00PM ET",6.629,"Chi"
"RW","Patrick Kane",7800,"Chi@Wpg 08:00PM ET",5.167,"Chi"
"G","Marc-Andre Fleury",7700,"Buf@Pit 07:00PM ET",5.644,"Pit"
"C","Sidney Crosby",7700,"Buf@Pit 07:00PM ET",2.500,"Pit"
"LW","Max Pacioretty",7700,"Mon@Edm 09:00PM ET",5.050,"Mon"
"RW","Vladimir Tarasenko",7600,"Anh@StL 08:00PM ET",5.167,"StL"
"C","Steven Stamkos",7400,"Col@TB 07:30PM ET",3.150,"TB"
"G","Ryan Miller",7300,"Van@Dal 08:30PM ET",4.867,"Van"
"G","Ben Bishop",7300,"Col@TB 07:30PM ET",4.267,"TB"
"RW","Blake Wheeler",7200,"Chi@Wpg 08:00PM ET",4.944,"Wpg"
"G","Jaroslav Halak",7200,"Car@NYI 07:00PM ET",6.950,"NYI"
"RW","Phil Kessel",7200,"Buf@Pit 07:00PM ET",3.389,"Pit"
"G","Brian Elliott",7200,"Anh@StL 08:00PM ET",4.520,"StL"
"G","Jake Allen",7200,"Anh@StL 08:00PM ET",5.050,"StL"
"C","Nathan MacKinnon",7200,"Col@TB 07:30PM ET",4.625,"Col"
"G","Semyon Varlamov",7100,"Col@TB 07:30PM ET",1.760,"Col"
"G","Mike Condon",7100,"Mon@Edm 09:00PM ET",6.900,"Mon"
"RW","Corey Perry",7000,"Anh@StL 08:00PM ET",1.833,"Anh"
"C","Evgeni Malkin",7000,"Buf@Pit 07:00PM ET",3.833,"Pit"
"G","Steve Mason",6900,"NJ@Phi 07:00PM ET",3.233,"Phi"
"G","Jeff Zatkoff",6900,"Buf@Pit 07:00PM ET",0,"Pit"
"G","Frederik Andersen",6900,"Anh@StL 08:00PM ET",3.371,"Anh"
"LW","Gabriel Landeskog",6900,"Col@TB 07:30PM ET",4.313,"Col"
"C","Ryan Getzlaf",6800,"Anh@StL 08:00PM ET",1.667,"Anh"
"G","Cory Schneider",6800,"NJ@Phi 07:00PM ET",4.314,"NJ"
"C","Claude Giroux",6800,"NJ@Phi 07:00PM ET",3.588,"Phi"
"G","Antti Niemi",6700,"Van@Dal 08:30PM ET",5.967,"Dal"
"G","Scott Darling",6700,"Chi@Wpg 08:00PM ET",3.800,"Chi"
"G","Kari Lehtonen",6600,"Van@Dal 08:30PM ET",4.650,"Dal"
"G","Thomas Greiss",6600,"Car@NYI 07:00PM ET",6.550,"NYI"
"G","Ondrej Pavelec",6600,"Chi@Wpg 08:00PM ET",3.714,"Wpg"
"LW","Alexander Steen",6500,"Anh@StL 08:00PM ET",4.333,"StL"
"RW","Jakub Voracek",6500,"NJ@Phi 07:00PM ET",3.313,"Phi"
"G","Michael Hutchinson",6500,"Chi@Wpg 08:00PM ET",6.733,"Wpg"
"LW","Daniel Sedin",6400,"Van@Dal 08:30PM ET",3.778,"Van"
"G","Cam Ward",6400,"Car@NYI 07:00PM ET",3.450,"Car"
"C","Jonathan Toews",6400,"Chi@Wpg 08:00PM ET",3.000,"Chi"
"G","Anton Khudobin",6400,"Anh@StL 08:00PM ET",2.200,"Anh"
"LW","Taylor Hall",6400,"Mon@Edm 09:00PM ET",4.350,"Edm"
"G","Keith Kinkaid",6400,"NJ@Phi 07:00PM ET",1.400,"NJ"
"G","Richard Bachman",6300,"Van@Dal 08:30PM ET",0,"Van"
"G","Cam Talbot",6300,"Mon@Edm 09:00PM ET",3.125,"Edm"
"G","Eddie Lack",6300,"Car@NYI 07:00PM ET",0.000,"Car"
"G","Anders Nilsson",6200,"Mon@Edm 09:00PM ET",3.800,"Edm"
"G","Reto Berra",6200,"Col@TB 07:30PM ET",4.850,"Col"
"RW","Kyle Okposo",6100,"Car@NYI 07:00PM ET",3.722,"NYI"
"G","Chad Johnson",6100,"Buf@Pit 07:00PM ET",2.625,"Buf"
"G","Jason LaBarbera",6000,"NJ@Phi 07:00PM ET",0,"Phi"
"C","Tomas Plekanec",6000,"Mon@Edm 09:00PM ET",4.000,"Mon"
"C","Jason Spezza",6000,"Van@Dal 08:30PM ET",4.556,"Dal"
"G","Yann Danis",6000,"NJ@Phi 07:00PM ET",0,"NJ"
"D","P.K. Subban",6000,"Mon@Edm 09:00PM ET",3.650,"Mon"
"G","Jean-Francois Berube",6000,"Car@NYI 07:00PM ET",2.000,"NYI"
"G","Linus Ullmark",6000,"Buf@Pit 07:00PM ET",0.800,"Buf"
"G","Kristers Gudlevskis",6000,"Col@TB 07:30PM ET",5.200,"TB"
"D","Dustin Byfuglien",5900,"Chi@Wpg 08:00PM ET",3.111,"Wpg"
"LW","Patrick Sharp",5800,"Van@Dal 08:30PM ET",2.722,"Dal"
"RW","Radim Vrbata",5700,"Van@Dal 08:30PM ET",2.911,"Van"
"RW","Patric Hornqvist",5700,"Buf@Pit 07:00PM ET",1.722,"Pit"
"RW","Marian Hossa",5600,"Chi@Wpg 08:00PM ET",2.389,"Chi"
"C","Eric Staal",5600,"Car@NYI 07:00PM ET",3.056,"Car"
"LW","Andrew Ladd",5600,"Chi@Wpg 08:00PM ET",3.167,"Wpg"
"D","Justin Faulk",5600,"Car@NYI 07:00PM ET",4.167,"Car"
"C","Tyler Johnson",5600,"Col@TB 07:30PM ET",2.350,"TB"
"C","Connor McDavid",5600,"Mon@Edm 09:00PM ET",3.650,"Edm"
"RW","Chris Stewart",5500,"Anh@StL 08:00PM ET",0.667,"Anh"
"D","Kris Letang",5500,"Buf@Pit 07:00PM ET",3.333,"Pit"
"RW","Ryan Callahan",5400,"Col@TB 07:30PM ET",2.450,"TB"
"RW","Wayne Simmonds",5400,"NJ@Phi 07:00PM ET",2.563,"Phi"
"RW","Brendan Gallagher",5400,"Mon@Edm 09:00PM ET",3.900,"Mon"
"RW","Nikita Kucherov",5400,"Col@TB 07:30PM ET",2.000,"TB"
"D","Johnny Boychuk",5300,"Car@NYI 07:00PM ET",4.278,"NYI"
"C","Bryan Little",5300,"Chi@Wpg 08:00PM ET",3.333,"Wpg"
"D","Sami Vatanen",5300,"Anh@StL 08:00PM ET",2.389,"Anh"
"LW","Mike Cammalleri",5200,"NJ@Phi 07:00PM ET",4.500,"NJ"
"RW","Jarome Iginla",5100,"Col@TB 07:30PM ET",2.688,"Col"
"C","Jack Eichel",5100,"Buf@Pit 07:00PM ET",2.667,"Buf"
"C","Tyler Ennis",5000,"Buf@Pit 07:00PM ET",3.411,"Buf"
"C","Matt Duchene",5000,"Col@TB 07:30PM ET",1.813,"Col"
"LW","Ryan O'Reilly",5000,"Buf@Pit 07:00PM ET",3.500,"Buf"
"D","Francois Beauchemin",4900,"Col@TB 07:30PM ET",4.375,"Col"
"C","Ryan Kesler",4900,"Anh@StL 08:00PM ET",1.722,"Anh"
"LW","Chris Kunitz",4900,"Buf@Pit 07:00PM ET",1.667,"Pit"
"D","Kevin Shattenkirk",4900,"Anh@StL 08:00PM ET",2.125,"StL"
"D","Alex Pietrangelo",4900,"Anh@StL 08:00PM ET",2.278,"StL"
"D","Victor Hedman",4900,"Col@TB 07:30PM ET",3.100,"TB"
"D","John Klingberg",4900,"Van@Dal 08:30PM ET",3.611,"Dal"
"C","Anders Lee",4900,"Car@NYI 07:00PM ET",3.000,"NYI"
"LW","Pascal Dupuis",4800,"Buf@Pit 07:00PM ET",1.500,"Pit"
"LW","Adam Henrique",4800,"NJ@Phi 07:00PM ET",4.133,"NJ"
"D","Andrei Markov",4700,"Mon@Edm 09:00PM ET",3.650,"Mon"
"D","Brent Seabrook",4700,"Chi@Wpg 08:00PM ET",3.389,"Chi"
"C","David Backes",4700,"Anh@StL 08:00PM ET",1.611,"StL"
"D","Erik Johnson",4700,"Col@TB 07:30PM ET",3.375,"Col"
"D","Alexander Edler",4700,"Van@Dal 08:30PM ET",2.750,"Van"
"D","Tyson Barrie",4700,"Col@TB 07:30PM ET",2.200,"Col"
"C","Mark Scheifele",4700,"Chi@Wpg 08:00PM ET",3.000,"Wpg"
"RW","Nikolaj Ehlers",4700,"Chi@Wpg 08:00PM ET",4.167,"Wpg"
"LW","Artemi Panarin",4700,"Chi@Wpg 08:00PM ET",3.111,"Chi"
"D","Mark Streit",4600,"NJ@Phi 07:00PM ET",3.875,"Phi"
"C","Frans Nielsen",4600,"Car@NYI 07:00PM ET",3.944,"NYI"
"C","Ryan Nugent-Hopkins",4600,"Mon@Edm 09:00PM ET",2.500,"Edm"
"C","Ryan Strome",4600,"Car@NYI 07:00PM ET",2.438,"NYI"
"C","Alex Galchenyuk",4600,"Mon@Edm 09:00PM ET",2.600,"Mon"
"LW","Jonathan Drouin",4600,"Col@TB 07:30PM ET",1.800,"TB"
"C","Henrik Sedin",4500,"Van@Dal 08:30PM ET",1.944,"Van"
"D","Anton Stralman",4500,"Col@TB 07:30PM ET",2.200,"TB"
"D","Jason Garrison",4500,"Col@TB 07:30PM ET",2.950,"TB"
"LW","Jeff Skinner",4500,"Car@NYI 07:00PM ET",1.722,"Car"
"LW","Ondrej Palat",4500,"Col@TB 07:30PM ET",2.450,"TB"
"RW","Drew Stafford",4400,"Chi@Wpg 08:00PM ET",3.333,"Wpg"
"RW","Troy Brouwer",4400,"Anh@StL 08:00PM ET",3.278,"StL"
"C","Brandon Sutter",4400,"Van@Dal 08:30PM ET",3.444,"Van"
"C","Cody Eakin",4400,"Van@Dal 08:30PM ET",2.944,"Dal"
"RW","Jakob Silfverberg",4400,"Anh@StL 08:00PM ET",1.689,"Anh"
"D","Hampus Lindholm",4400,"Anh@StL 08:00PM ET",2.556,"Anh"
"C","Brayden Schenn",4300,"NJ@Phi 07:00PM ET",3.000,"Phi"
"LW","David Perron",4200,"Buf@Pit 07:00PM ET",1.556,"Pit"
"D","Alex Goligoski",4200,"Van@Dal 08:30PM ET",3.167,"Dal"
"D","Tyler Myers",4200,"Chi@Wpg 08:00PM ET",2.167,"Wpg"
"C","Victor Rask",4200,"Car@NYI 07:00PM ET",2.667,"Car"
"RW","Nail Yakupov",4200,"Mon@Edm 09:00PM ET",3.450,"Edm"
"LW","Alex Tanguay",4100,"Col@TB 07:30PM ET",1.438,"Col"
"C","Carl Soderberg",4100,"Col@TB 07:30PM ET",2.000,"Col"
"RW","Kris Versteeg",4100,"Car@NYI 07:00PM ET",2.333,"Car"
"LW","Matt Moulson",4100,"Buf@Pit 07:00PM ET",2.244,"Buf"
"C","Brock Nelson",4100,"Car@NYI 07:00PM ET",2.389,"NYI"
"D","Rasmus Ristolainen",4100,"Buf@Pit 07:00PM ET",3.111,"Buf"
"RW","Ales Hemsky",4000,"Van@Dal 08:30PM ET",2.722,"Dal"
"C","Andrew Cogliano",4000,"Anh@StL 08:00PM ET",1.000,"Anh"
"C","Sam Gagner",4000,"NJ@Phi 07:00PM ET",2.314,"Phi"
"LW","Patrick Maroon",4000,"Anh@StL 08:00PM ET",0.778,"Anh"
"C","Mathieu Perreault",4000,"Chi@Wpg 08:00PM ET",2.389,"Wpg"
"LW","Josh Bailey",4000,"Car@NYI 07:00PM ET",2.889,"NYI"
"D","Michael Del Zotto",4000,"NJ@Phi 07:00PM ET",2.063,"Phi"
"C","Jori Lehtera",4000,"Anh@StL 08:00PM ET",2.722,"StL"
"LW","Carl Hagelin",4000,"Anh@StL 08:00PM ET",1.611,"Anh"
"D","Jacob Trouba",4000,"Chi@Wpg 08:00PM ET",2.167,"Wpg"
"RW","Alexandre Burrows",3900,"Van@Dal 08:30PM ET",2.078,"Van"
"C","Jordan Staal",3900,"Car@NYI 07:00PM ET",0.611,"Car"
"D","Travis Hamonic",3900,"Car@NYI 07:00PM ET",2.500,"NYI"
"D","Cam Fowler",3900,"Anh@StL 08:00PM ET",2.111,"Anh"
"LW","Alex Killorn",3900,"Col@TB 07:30PM ET",1.550,"TB"
"LW","Teuvo Teravainen",3900,"Chi@Wpg 08:00PM ET",2.111,"Chi"
"C","Elias Lindholm",3900,"Car@NYI 07:00PM ET",1.556,"Car"
"LW","Benoit Pouliot",3800,"Mon@Edm 09:00PM ET",2.300,"Edm"
"D","Kevin Bieksa",3800,"Anh@StL 08:00PM ET",1.944,"Anh"
"C","Artem Anisimov",3800,"Chi@Wpg 08:00PM ET",2.278,"Chi"
"RW","Kyle Palmieri",3800,"NJ@Phi 07:00PM ET",2.556,"NJ"
"LW","Michael Raffl",3800,"NJ@Phi 07:00PM ET",1.813,"Phi"
"RW","Brian Gionta",3600,"Buf@Pit 07:00PM ET",1.583,"Buf"
"C","Shawn Horcoff",3600,"Anh@StL 08:00PM ET",1.500,"Anh"
"RW","Alexander Semin",3600,"Mon@Edm 09:00PM ET",1.550,"Mon"
"C","David Desharnais",3600,"Mon@Edm 09:00PM ET",2.500,"Mon"
"C","Nick Bonino",3600,"Buf@Pit 07:00PM ET",1.889,"Pit"
"RW","Matt Read",3600,"NJ@Phi 07:00PM ET",2.000,"Phi"
"D","Oscar Klefbom",3600,"Mon@Edm 09:00PM ET",2.500,"Edm"
"LW","Tomas Fleischmann",3500,"Mon@Edm 09:00PM ET",2.100,"Mon"
"D","Trevor Daley",3500,"Chi@Wpg 08:00PM ET",1.500,"Chi"
"LW","Nikolay Kulemin",3500,"Car@NYI 07:00PM ET",2.500,"NYI"
"D","Nick Leddy",3500,"Car@NYI 07:00PM ET",1.278,"NYI"
"D","Olli Maatta",3500,"Buf@Pit 07:00PM ET",1.667,"Pit"
"C","Vincent Lecavalier",3400,"NJ@Phi 07:00PM ET",0.000,"Phi"
"C","John Mitchell",3400,"Col@TB 07:30PM ET",2.688,"Col"
"RW","Lee Stempniak",3400,"NJ@Phi 07:00PM ET",2.689,"NJ"
"C","Valtteri Filppula",3400,"Col@TB 07:30PM ET",1.250,"TB"
"D","Clayton Stoner",3400,"Anh@StL 08:00PM ET",0.333,"Anh"
"D","Cody Franson",3400,"Buf@Pit 07:00PM ET",2.278,"Buf"
"RW","Teddy Purcell",3400,"Mon@Edm 09:00PM ET",1.650,"Edm"
"C","Lars Eller",3400,"Mon@Edm 09:00PM ET",2.400,"Mon"
"LW","Nathan Gerbe",3400,"Car@NYI 07:00PM ET",1.556,"Car"
"C","Sean Couturier",3400,"NJ@Phi 07:00PM ET",2.000,"Phi"
"D","Justin Schultz",3400,"Mon@Edm 09:00PM ET",1.833,"Edm"
"C","Travis Zajac",3300,"NJ@Phi 07:00PM ET",2.813,"NJ"
"RW","Jannik Hansen",3300,"Van@Dal 08:30PM ET",2.167,"Van"
"D","Christopher Tanev",3300,"Van@Dal 08:30PM ET",2.111,"Van"
